Year,Month,Country,Model,Segment,Engine Type,Active Dealership Count,Gdp_Growth_Percent,Interest_Rate_Percent,Competition By Rivarly Index,Model Units Sold,Price_INR,Marketing_Spend_INR,Fuel_Price_INR
2021,1,Australia,X1,SUV,Petrol,96,9.05,4,8,324,6078737.28,23312298.24,99.86
2018,8,Australia,i4,Sedan,Electric,234,6.53,6.5,7,556,5627881.49,30624905.22,75.55
2022,12,USA,5 Series,Electric,Hybrid,25,7.24,6.25,7,152,3190688.4,20416743,105.41
2019,11,Australia,i7,SUV,Electric,319,4.04,5.15,5,730,2983765.82,22783757.22,72.96
2021,12,Brazil,X5,SUV,Diesel,367,9.05,4,2,1156,6084724.8,35630548.8,99.86
2024,12,China,i7,Electric,Diesel,172,6.8,6.5,6,687,9864524.8,29049696,94.77
2017,4,USA,i4,Electric,Diesel,107,6.8,6,10,439,7457933.12,8412396.96,63.09
2021,4,USA,X7,Sedan,Diesel,165,9.05,4,3,489,3816193.92,29967020.16,99.86
2022,5,India,3 Series,Sedan,Petrol,11,7.24,6.25,4,435,3311418,38315928,105.41
2019,8,UK,7 Series,SUV,Petrol,359,4.04,5.15,10,1080,2945527.76,6500963.14,72.96
2018,5,UK,5 Series,Electric,Electric,178,6.53,6.5,2,447,6327032.46,15660352.54,75.55
2022,8,Brazil,X3,Electric,Hybrid,324,7.24,6.25,2,827,6890390.4,20884413,105.41
2022,10,Canada,X3,Electric,Diesel,334,7.24,6.25,8,712,4156603.8,32590153.8,105.41
2017,1,Germany,X3,SUV,Electric,384,6.8,6,8,1181,5083202.08,14738349.12,63.09
2020,12,Germany,X1,Electric,Petrol,101,5.83,4,10,307,8823679.8,26100984,79.76
2019,10,France,X3,Electric,Petrol,190,4.04,5.15,6,725,5487971.44,25768720.18,72.96
2016,9,Brazil,7 Series,SUV,Hybrid,240,8.26,6.25,5,588,6468314.11,6876493.36,59.68
2022,6,USA,3 Series,Sedan,Hybrid,310,7.24,6.25,8,644,8723499.6,23270316,105.41
2020,3,Brazil,X3,Sedan,Hybrid,157,5.83,4,4,534,2744293.5,32050176.6,79.76
